Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
30,0.0,56.9,0.0,21272.0,133.19,8672412,24.739910125732425,merged_training_metrics.csv
1,0.0,76.8,0.0,21284.0,109.465,16443148,83.31534004211426,merged_training_metrics.csv
2,0.0,76.8,0.0,21284.0,130.673,16566764,25.789817094802856,merged_training_metrics.csv
3,0.0,76.9,0.0,21284.0,115.451,16691316,25.57486581802368,merged_training_metrics.csv
4,0.0,77.0,0.0,21284.0,130.051,16812504,25.77461290359497,merged_training_metrics.csv
5,0.0,77.1,0.0,21284.0,115.945,16932972,25.976427793502808,merged_training_metrics.csv
6,0.0,77.3,0.0,21284.0,131.124,17054302,25.68908929824829,merged_training_metrics.csv
7,0.0,77.3,0.0,21284.0,115.696,17195800,25.42588233947754,merged_training_metrics.csv
8,0.0,77.4,0.0,21284.0,131.862,17317384,25.6122145652771,merged_training_metrics.csv
9,0.0,77.5,0.0,21284.0,131.407,17439188,25.42722749710083,merged_training_metrics.csv
10,0.0,76.9,0.0,21284.0,117.525,17560134,25.63440227508545,merged_training_metrics.csv
1,0.0,81.6,0.0,21288.0,109.17,17738207,82.97584080696106,merged_training_metrics.csv
2,0.2,81.4,0.0,21288.0,129.96800000000002,17866904,25.48617720603943,merged_training_metrics.csv
3,0.0,81.5,0.0,21288.0,116.846,17988740,25.873616933822632,merged_training_metrics.csv
4,0.2,81.6,0.0,21288.0,131.382,18114517,25.44000220298767,merged_training_metrics.csv
5,0.0,81.7,0.0,21288.0,115.675,18239577,25.591180562973022,merged_training_metrics.csv
6,0.0,81.8,0.0,21288.0,131.62099999999998,18364584,25.601240634918213,merged_training_metrics.csv
7,0.0,81.3,0.0,21288.0,115.25,18485832,25.619951248168945,merged_training_metrics.csv
8,0.0,81.5,0.0,21288.0,131.83599999999998,18607900,25.412330627441406,merged_training_metrics.csv
9,0.0,81.7,0.0,21288.0,116.747,18728807,25.12752866744995,merged_training_metrics.csv
10,0.0,81.8,0.0,21288.0,132.185,18850658,25.13528633117676,merged_training_metrics.csv
11,0.0,81.9,0.0,21288.0,115.859,18971012,25.454538583755493,merged_training_metrics.csv
12,0.0,82.0,0.0,21288.0,132.251,19093070,25.491045713424683,merged_training_metrics.csv
13,0.0,82.1,0.0,21288.0,132.132,19216080,25.53683829307556,merged_training_metrics.csv
14,0.0,82.2,0.0,21288.0,116.985,19339334,25.36836194992065,merged_training_metrics.csv
15,0.0,82.3,0.0,21288.0,132.918,19461302,25.406837463378903,merged_training_metrics.csv
16,0.0,82.4,0.0,21288.0,116.713,19585370,25.20401215553284,merged_training_metrics.csv
17,0.0,82.5,0.0,21288.0,132.377,19707220,25.132096767425537,merged_training_metrics.csv
18,0.0,82.6,0.0,21288.0,115.434,19832478,25.73311400413513,merged_training_metrics.csv
19,0.0,81.9,0.0,21288.0,131.766,19953708,26.026442289352417,merged_training_metrics.csv
20,0.0,82.1,0.0,21288.0,115.42,20075650,25.43123888969421,merged_training_metrics.csv
1,0.0,86.2,0.0,21290.0,108.81,20243622,82.904794216156,merged_training_metrics.csv
2,0.0,86.3,0.0,21290.0,128.56,20373781,25.46936774253845,merged_training_metrics.csv
3,0.2,86.5,0.0,21290.0,128.55599999999998,20501868,24.998598337173465,merged_training_metrics.csv
4,0.0,86.6,0.0,21290.0,113.588,20640514,25.513946533203125,merged_training_metrics.csv
5,0.0,86.7,0.0,21290.0,129.064,20763905,25.15648126602173,merged_training_metrics.csv
6,0.0,86.9,0.0,21290.0,128.274,20890021,25.034324645996094,merged_training_metrics.csv
7,0.0,86.3,0.0,21290.0,129.042,21017994,25.447718858718872,merged_training_metrics.csv
8,0.0,86.4,0.0,21290.0,113.263,21139264,25.07955956459045,merged_training_metrics.csv
9,0.0,86.6,0.0,21290.0,129.779,21262688,25.15307092666626,merged_training_metrics.csv
